occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
3439,3439 -  Övriga yrken inom kultur och underhållning,73.9,86,62.8,5.5,5.9,5.1,731,349,382,..,..,..,..,..,..,115,..,110,..
2641,2641 -  Författare m.fl.,61.8,71.9,51.5,6,7,5,939,473,466,..,..,..,..,..,86,89,90,..,..
4430,4430 -  Förtroendevalda,73.8,86.8,63.2,8.1,7.1,9,800,357,443,..,..,..,..,..,106,..,..,..,..
1242,"1242 -  Informations-, kommunikations - och PR-chefer, nivå 2",51.2,72.4,28.3,5.4,6.7,4,2051,1063,988,..,92,94,97,89,..,92,99,99,88
1742,"1742 -  Chefer inom friskvård, sport och fritid, nivå 2",61.1,61.9,60.5,7.6,9.4,6.1,1129,517,612,..,..,..,..,98,..,..,..,70,95
2164,2164 -  Lantmätare,74.5,75.6,73.2,7.3,8.9,5.5,685,357,328,97,97,..,..,..,94,92,..,88,89
2655,2655 -  Skådespelare,61.1,65.9,55.1,5.7,6.5,4.7,1130,622,508,..,100,..,..,..,..,101,100,..,..
5241,5241 -  Eventsäljare och butiksdemonstratörer m.fl.,51.7,59.8,41.1,7,7.8,5.9,1452,819,633,..,94,91,..,..,90,91,88,96,..
5419,5419 -  Övrig bevaknings- och säkerhetspersonal,98.4,123.8,72.1,9.2,11.6,6.8,5061,2577,2484,97,..,..,..,..,95,100,99,91,94
1113,1113 -  Chefstjänstemän i intresseorganisationer,56.3,71.1,42.6,4.9,6.3,3.5,817,394,423,..,..,..,..,..,..,..,93,..,..
1592,"1592 -  Övriga verksamhetschefer inom samhällsservice, nivå 2",69.9,88.6,50.7,5.9,7.6,4.2,11046,5601,5445,94,95,95,94,94,96,96,98,97,98
1721,"1721 -  Restaurang- och kökschefer, nivå 1",87.4,109,68,8.3,10.5,6.3,2094,991,1103,..,..,..,..,..,102,106,102,92,94
2134,2134 -  Specialister och rådgivare inom lantbruk m.m.,55.2,78.3,28.1,6,7.2,4.6,851,460,391,..,..,..,89,..,95,97,..,87,92
2181,"2181 -  Arbetsmiljöingenjörer, yrkes- och miljöhygieniker",64.3,85.8,44.8,8,10.4,5.8,1400,664,736,101,100,100,98,97,97,99,100,98,100
2183,2183 -  Specialister inom miljöskydd och miljöteknik,67.8,87.1,43,6.7,7.7,5.3,2447,1377,1070,94,101,94,98,100,92,99,95,97,99
2320,2320 -  Lärare i yrkesämnen,82.9,106.9,63.4,9.5,11.8,7.7,9509,4255,5254,98,97,99,98,98,96,97,99,98,99
2652,"2652 -  Musiker, sångare och kompositörer",72.5,94.3,50.1,6.6,8.6,4.6,4179,2122,2057,97,97,95,98,100,97,96,95,98,101
3449,3449 -  Övriga utbildare och instruktörer,91.9,127.1,55.6,9.9,13,6.8,4166,2117,2049,..,..,..,..,..,92,93,85,99,96
5112,5112 -  Tågvärdar och ombordansvariga m.fl.,145.2,187.7,104.8,12.1,15.8,8.5,4620,2254,2366,98,98,98,99,96,97,97,97,98,96
5113,5113 -  Guider och reseledare,44.6,52.9,33.5,5,5.8,4.1,763,435,328,..,..,..,..,..,109,..,92,94,..
5161,5161 -  Begravnings- och krematoriepersonal,104.6,130.8,76.9,12.5,16.1,8.8,1176,604,572,93,..,..,..,..,92,95,92,86,82
7612,7612 -  Bagare och konditorer,88.8,113.6,67.7,8.1,10.2,6.3,3255,1496,1759,..,..,..,..,..,101,96,99,92,94
1211,"1211 -  Ekonomi- och finanschefer, nivå 1",40.4,52.7,29.2,4,5.2,2.8,6110,2923,3187,75,77,80,81,77,69,72,70,75,72
1591,"1591 -  Övriga chefer inom samhällsservice, nivå 1",45.9,60.5,33.2,3.8,4.9,2.8,4506,2098,2408,94,94,95,94,93,96,95,96,95,95
1722,"1722 -  Restaurang- och kökschefer, nivå 2",73.8,90.9,64.3,8.7,9.7,8.2,4744,1694,3050,..,..,..,..,..,96,91,99,95,105
2671,2671 -  Präster,107,141.7,70.1,12.6,16.6,8.4,2468,1270,1198,100,99,98,104,99,100,100,98,105,99
3214,3214 -  Tandtekniker och ortopedingenjörer m.fl.,79.4,97,65.2,6.7,8.6,5.2,3264,1453,1811,..,99,94,92,93,94,96,92,89,90
3314,3314 -  Skadereglerare och värderare,88.9,120,50.9,10.1,12.5,7.1,5401,2967,2434,92,94,94,95,96,91,92,93,94,95
3324,3324 -  Ordersamordnare m.fl.,79.1,101.8,58.8,7.8,10.2,5.6,14695,6952,7743,93,89,91,92,93,91,89,91,92,93
3334,3334 -  Fastighetsmäklare,56.5,82.9,29.7,6.5,8.7,4.1,3537,1785,1752,..,..,..,..,..,..,..,..,..,78
3515,3515 -  Webbmaster och webbadministratörer,61.8,87.2,36.7,6.6,9,4.4,1893,940,953,..,..,..,103,..,91,91,95,109,107
8151,"8151 -  Maskinoperatörer, blekning, färgning och tvättning",136.3,169.4,93.3,12.3,14.5,9.4,2787,1576,1211,99,98,100,..,..,99,99,102,101,103
9629,9629 -  Övriga servicearbetare,239.9,297,197,27.6,35.3,21.8,24999,10718,14281,99,100,100,100,100,100,100,101,101,100
2122,2122 -  Statistiker,52.8,75.5,31.4,5,7,3.1,1232,596,636,96,96,95,94,95,94,97,93,92,93
2131,2131 -  Cell- och molekylärbiologer m.fl.,36.1,52.6,21.4,3.9,5.3,2.6,1496,703,793,..,99,95,97,99,93,100,95,96,100
3321,3321 -  Försäkringssäljare och försäkringsrådgivare,76.5,109.7,44,7.9,10.9,4.9,10262,5079,5183,82,83,81,79,81,80,81,80,77,79
3331,3331 -  Speditörer och transportmäklare,78.3,114.7,43.3,7,9.7,4.5,4304,2110,2194,85,..,..,93,..,86,96,91,93,90
3422,3422 -  Idrottstränare och instruktörer m.fl.,65.5,91.5,43.2,7,9.4,4.9,5523,2557,2966,..,102,102,98,..,94,101,96,97,88
1292,"1292 -  Övriga administrations- och servicechefer, nivå 2",57.2,78.5,40.4,6.1,8.4,4.3,12654,5593,7061,89,89,88,97,88,88,88,85,92,87
1411,"1411 -  Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning, nivå 1",41.8,44.6,37.7,4.4,5.2,3.1,789,471,318,92,96,95,..,94,92,97,96,89,93
1412,"1412 -  Rektorer, nivå 2",62.7,70.1,48.8,6.6,7.2,5.5,9117,5979,3138,98,97,97,98,98,98,98,98,99,98
1792,"1792 -  Chefer inom övrig servicenäring, nivå 2",67.7,100.8,46.8,7.7,10,6.3,4595,1775,2820,98,99,99,93,92,100,106,101,96,95
