,occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018,index_health,index_power,index_pay,index_distribution,index_total_geometric,index_total_aritmetic
0,3439,3439 -  Övriga yrken inom kultur och underhållning,73.9,86.0,62.8,5.5,5.9,5.1,731.0,349.0,382.0,,,,,,,115.0,,110.0,,0.8644067796610169,,,0.9136125654450262,,
1,2641,2641 -  Författare m.fl.,61.8,71.9,51.5,6.0,7.0,5.0,939.0,473.0,466.0,,,,,,86.0,89.0,90.0,,,0.7142857142857143,,,1.0150214592274678,,
2,4430,4430 -  Förtroendevalda,73.8,86.8,63.2,8.1,7.1,9.0,800.0,357.0,443.0,,,,,,106.0,,,,,1.267605633802817,,,0.8058690744920993,,
3,1242,"1242 -  Informations-, kommunikations - och PR-chefer, nivå 2",51.2,72.4,28.3,5.4,6.7,4.0,2051.0,1063.0,988.0,,92.0,94.0,97.0,89.0,,92.0,99.0,99.0,88.0,0.5970149253731343,0.98,0.97,1.075910931174089,0.7814112495987348,0.9057314641368059
4,1742,"1742 -  Chefer inom friskvård, sport och fritid, nivå 2",61.1,61.9,60.5,7.6,9.4,6.1,1129.0,517.0,612.0,,,,,98.0,,,,70.0,95.0,0.648936170212766,,,0.8447712418300654,,
5,2164,2164 -  Lantmätare,74.5,75.6,73.2,7.3,8.9,5.5,685.0,357.0,328.0,97.0,97.0,,,,94.0,92.0,,88.0,89.0,0.6179775280898876,,,1.0884146341463414,,
6,2655,2655 -  Skådespelare,61.1,65.9,55.1,5.7,6.5,4.7,1130.0,622.0,508.0,,100.0,,,,,101.0,100.0,,,0.7230769230769231,,,1.2244094488188977,,
7,5241,5241 -  Eventsäljare och butiksdemonstratörer m.fl.,51.7,59.8,41.1,7.0,7.8,5.9,1452.0,819.0,633.0,,94.0,91.0,,,90.0,91.0,88.0,96.0,,0.7564102564102565,,,1.2938388625592416,,
8,5419,5419 -  Övrig bevaknings- och säkerhetspersonal,98.4,123.8,72.1,9.2,11.6,6.8,5061.0,2577.0,2484.0,97.0,,,,,95.0,100.0,99.0,91.0,94.0,0.5862068965517241,,,1.03743961352657,,
9,1113,1113 -  Chefstjänstemän i intresseorganisationer,56.3,71.1,42.6,4.9,6.3,3.5,817.0,394.0,423.0,,,,,,,,93.0,,,0.5555555555555556,,,0.9314420803782506,,
